subj,task,feature,match,accuracy,RT
161,gap,conj,m,1,0.829
161,gap,conj,mm,1,0.728
161,gap,sing,m,1,0.794
161,gap,sing,mm,0.75,0.619
162,gap,conj,m,1,1.073
162,gap,conj,mm,1,0.85
162,gap,sing,m,0.75,1.506
162,gap,sing,mm,0.875,2.194
163,gap,conj,m,0.875,1.139
163,gap,conj,mm,0.75,1.321
163,gap,sing,m,1,1.321
163,gap,sing,mm,0.875,1.072
164,no_gap,conj,m,1,1.145
164,no_gap,conj,mm,0.875,1.475
164,no_gap,sing,m,0.875,0.841
164,no_gap,sing,mm,0.875,0.756
165,no_gap,conj,m,0.875,0.647
165,no_gap,conj,mm,1,0.826
165,no_gap,sing,m,1,0.468
165,no_gap,sing,mm,1,0.66
166,gap,conj,m,1,0.634
166,gap,conj,mm,1,0.81
166,gap,sing,m,0.625,0.519
166,gap,sing,mm,1,0.985
167,gap,conj,m,0.875,0.649
167,gap,conj,mm,1,0.593
167,gap,sing,m,1,0.55
167,gap,sing,mm,1,0.787
168,no_gap,conj,m,0.875,0.544
168,no_gap,conj,mm,1,0.695
168,no_gap,sing,m,1,1.147
168,no_gap,sing,mm,0.875,1.066
169,no_gap,conj,m,1,0.77
169,no_gap,conj,mm,1,1.218
169,no_gap,sing,m,0.75,0.624
169,no_gap,sing,mm,1,0.831
170,gap,conj,m,1,0.74
170,gap,conj,mm,1,0.789
170,gap,sing,m,1,0.666
170,gap,sing,mm,0.875,0.643
171,no_gap,conj,m,1,0.651
171,no_gap,conj,mm,1,0.692
171,no_gap,sing,m,1,1.064
171,no_gap,sing,mm,0.875,1.476
172,gap,conj,m,0.875,0.828
172,gap,conj,mm,0.875,0.943
172,gap,sing,m,1,0.815
172,gap,sing,mm,1,0.643
173,gap,conj,m,0.875,0.646
173,gap,conj,mm,1,0.666
173,gap,sing,m,1,1.003
173,gap,sing,mm,0.875,0.837
174,gap,conj,m,1,0.877
174,gap,conj,mm,1,1.023
174,gap,sing,m,1,1.346
174,gap,sing,mm,1,1.249
175,no_gap,conj,m,0.75,1.078
175,no_gap,conj,mm,0.875,1.246
175,no_gap,sing,m,0.875,1.457
175,no_gap,sing,mm,1,1.126
176,no_gap,conj,m,0.875,1.38
176,no_gap,conj,mm,1,1.296
176,no_gap,sing,m,0.5,1.332
176,no_gap,sing,mm,0.875,1.07
177,gap,conj,m,1,1.192
177,gap,conj,mm,1,1.11
177,gap,sing,m,1,0.563
177,gap,sing,mm,1,0.821
178,no_gap,conj,m,0.875,0.438
178,no_gap,conj,mm,1,0.532
178,no_gap,sing,m,1,1.498
178,no_gap,sing,mm,0.875,1.635
179,no_gap,conj,m,1,1.019
179,no_gap,conj,mm,1,1.156
179,no_gap,sing,m,1,1.354
179,no_gap,sing,mm,1,0.803
180,gap,conj,m,1,1.118
180,gap,conj,mm,0.875,0.836
180,gap,sing,m,0.875,0.763
180,gap,sing,mm,1,0.845
181,gap,conj,m,1,0.673
181,gap,conj,mm,1,0.737
181,gap,sing,m,1,1.879
181,gap,sing,mm,1,1.701
182,gap,conj,m,1,1.193
182,gap,conj,mm,0.875,1.308
182,gap,sing,m,1,0.465
182,gap,sing,mm,0.75,0.566
183,gap,conj,m,1,0.425
183,gap,conj,mm,1,0.489
183,gap,sing,m,1,1.716
183,gap,sing,mm,1,1.559
184,gap,conj,m,1,1.859
184,gap,conj,mm,1,1.507
184,gap,sing,m,0.875,1.106
184,gap,sing,mm,0.625,1.313
185,gap,conj,m,1,1.468
185,gap,conj,mm,0.875,1.285
185,gap,sing,m,1,0.85
185,gap,sing,mm,0.875,0.652
186,gap,conj,m,1,0.835
186,gap,conj,mm,1,0.788
186,gap,sing,m,0.875,0.59
186,gap,sing,mm,0.625,0.683
187,gap,conj,m,1,0.72
187,gap,conj,mm,0.875,0.809
187,gap,sing,m,1,1.182
187,gap,sing,mm,1,1.242
188,gap,conj,m,1,1.459
188,gap,conj,mm,1,2.019
188,gap,sing,m,0.875,0.587
188,gap,sing,mm,0.875,0.601
189,no_gap,conj,m,0.75,0.551
189,no_gap,conj,mm,1,0.668
189,no_gap,sing,m,1,0.955
189,no_gap,sing,mm,0.625,0.75
190,gap,conj,m,1,0.481
190,gap,conj,mm,0.875,0.671
190,gap,sing,m,1,0.485
190,gap,sing,mm,1,0.549
191,no_gap,conj,m,1,0.487
191,no_gap,conj,mm,1,0.72
191,no_gap,sing,m,0.875,0.517
191,no_gap,sing,mm,1,0.677
192,gap,conj,m,0.875,0.808
192,gap,conj,mm,0.875,0.692
