Subject,List,FirstorSecond,Accuracy,SentenceBlankPictureGrayACC,SentenceBlankPictureColorACC,SentenceColorPictureColorACC,SentenceColorPictureGrayscaleACC,SentenceBlankPictureGrayRT,SentenceBlankPictureColorRT,SentenceColorPictureColorRT,SentenceColorPictureGrayRT,Experiment
48,3,2,0.958333333,1,1,0.916666667,0.916666667,597.5,566.5,577,667,2
50,4,2,0.979166667,0.916666667,1,1,1,841,883.5,974,1022.5,2
52,1,2,0.9375,0.833333333,1,1,0.916666667,1321.5,1394.5,1512.5,1459,2
54,2,1,1,1,1,1,1,631,680.5,735,645,2
56,3,1,1,1,1,1,1,799.5,615,680.5,805,2
58,4,2,1,1,1,1,1,1035.5,1111,995.5,1035,2
60,1,2,0.979166667,0.916666667,1,1,1,707,573.5,543,542,2
62,2,2,1,1,1,1,1,677.5,599.5,664.5,576,2
64,3,1,1,1,1,1,1,1642,1568,1720.5,1660.5,2
66,4,1,0.979166667,0.916666667,1,1,1,1547,1528,1344.5,1359,2
68,1,1,0.958333333,1,0.916666667,0.916666667,1,533.5,441,399,462,2
70,2,2,1,1,1,1,1,804,987.5,1299.5,896.5,2
72,3,2,1,1,1,1,1,1344.5,1162,1232,1238,2
74,4,1,0.979166667,0.916666667,1,1,1,607,524.5,540,540.5,2
76,1,2,1,1,1,1,1,800,763,1125,1083.5,2
78,2,1,1,1,1,1,1,1020.5,1014,950,1314.5,2
80,3,1,1,1,1,1,1,627,659,530,597.5,2
82,4,1,1,1,1,1,1,566.5,573,666.5,699,2
84,1,1,0.979166667,1,1,1,0.916666667,1089.5,1027,1520.5,1028,2
86,2,1,0.979166667,1,0.916666667,1,1,530.5,469,494.5,642.5,2
88,3,1,0.979166667,1,1,0.916666667,1,757,499.5,579,590,2
90,4,1,1,1,1,1,1,839,858.5,704.5,1077,2
92,1,2,0.979166667,0.916666667,1,1,1,809,1171.5,1429.5,1422.5,2
94,2,2,1,1,1,1,1,877,1036,959.5,1084,2
96,3,1,1,1,1,1,1,1709,1556.5,1229.5,1475,2
98,4,1,1,1,1,1,1,886.5,516,547,678,2
100,1,2,0.958333333,0.916666667,1,1,0.916666667,616,520,508,643,2
102,2,2,0.979166667,1,1,1,0.916666667,585,519,524,663,2
104,3,2,0.979166667,1,0.916666667,1,1,813.5,661,687.5,781.5,2
106,4,1,0.979166667,1,1,1,0.916666667,715,692.5,591.5,689,2
108,1,2,0.979166667,0.916666667,1,1,1,528,536,538,638,2
110,2,2,1,1,1,1,1,1050,819.5,748.5,925,2
112,3,1,0.979166667,1,0.916666667,1,1,691,607,602,691.5,2
114,4,1,0.958333333,0.916666667,1,1,0.916666667,1125,1095,1252,1015,2
116,1,2,1,1,1,1,1,761,702,713,900.5,2
118,2,1,1,1,1,1,1,607.5,580.5,561.5,618,2
120,3,2,0.979166667,1,1,0.916666667,1,595,524.5,530,562,2
124,1,1,0.895833333,0.916666667,0.833333333,1,0.833333333,781,571,536,1034.5,2
126,2,1,1,1,1,1,1,1317.5,1074,1218,1295.5,2
128,3,1,0.9375,1,0.916666667,0.916666667,0.916666667,1224,1472,1424,1404,2
130,4,2,0.979166667,1,1,1,0.916666667,699.5,652,678,643,2
132,1,2,0.979166667,1,1,1,0.916666667,676.5,632,603,699,2
134,2,2,1,1,1,1,1,1364,936.5,1269.5,1157,2
136,3,2,0.958333333,1,0.916666667,0.916666667,1,700.5,541,587,679.5,2
138,4,1,0.979166667,1,1,1,0.916666667,1136.5,651.5,806,895,2
140,1,2,0.958333333,0.916666667,1,1,0.916666667,986,1310,1221.5,1036,2
142,2,1,0.979166667,1,0.916666667,1,1,568,538,622,685,2
144,3,1,1,1,1,1,1,815,731.5,659.5,702,2
146,4,1,0.979166667,0.916666667,1,1,1,658,643,661.5,651.5,2
148,1,2,1,1,1,1,1,642.5,553,662,730,2
150,2,1,0.979166667,1,0.916666667,1,1,1075.5,908,1043.5,1124,2
152,3,1,0.979166667,1,0.916666667,1,1,637,1049,617.5,703,2
154,4,1,0.958333333,0.916666667,1,1,0.916666667,1184,968,1124,962,2
156,1,2,0.958333333,0.916666667,1,1,0.916666667,688,699,678,812,2
158,2,1,0.979166667,1,1,0.916666667,1,614,810,733,631.5,2
160,3,1,1,1,1,1,1,755.5,736.5,534.5,732.5,2
162,4,1,0.979166667,1,1,1,0.916666667,519.5,427,407.5,490,2
164,1,1,0.958333333,1,1,0.916666667,0.916666667,666,585.5,470,592,2
166,2,1,0.979166667,1,1,0.916666667,1,732,618.5,717,831,2
168,3,1,1,1,1,1,1,881.5,1080,796.5,942,2
170,1,2,1,1,1,1,1,1154,853,941.5,1079.5,2
172,3,1,0.958333333,1,0.833333333,1,1,932.5,753.5,740,796.5,2
174,1,1,1,1,1,1,1,1124,1401,1134.5,1306.5,2
176,3,2,1,1,1,1,1,562,677.5,735,684,2
178,1,1,0.979166667,1,1,1,0.916666667,1443,1331.5,1492,1320,2
182,1,1,0.9375,0.916666667,1,1,0.833333333,891,1078,1030.5,858,2
184,3,2,0.979166667,1,0.916666667,1,1,633.5,604,694.5,729.5,2
186,1,2,0.979166667,0.916666667,1,1,1,569,546.5,594,697.5,2
188,3,2,0.979166667,1,1,1,0.916666667,636,666,620.5,572,2
190,1,2,0.979166667,1,1,1,0.916666667,735.5,720,802.5,890,2
192,3,2,1,1,1,1,1,659.5,519.5,538.5,598.5,2
194,1,1,0.979166667,1,1,1,0.916666667,953.5,952,912.5,1058,2
196,3,1,0.958333333,1,0.916666667,0.916666667,1,625.5,520,532,658,2
