Task,Trial Type,PPnr,accuracy,reaction_time
long cue,dual feature,R_24f2Xj2zVejGVvr,0.938,0.633
long cue,dual feature,R_24MjDzYaj8vSl2F,1,1.02
long cue,dual feature,R_26aTxals5ya98Bn,0.875,0.69
long cue,dual feature,R_27I2lMBC4C9HqXh,0.875,0.712
long cue,dual feature,R_27IKiFTRUeouja1,0.8,1.11
long cue,dual feature,R_27TjhkHUtsmEKXv,0.75,1.3
long cue,dual feature,R_29buiFpEHzEyviM,1,0.704
long cue,dual feature,R_2AGbTgxStxS8OK7,0.938,0.836
long cue,dual feature,R_2ASEGOsJ8SHSVr5,0.938,1.12
long cue,dual feature,R_2bHPDYy6X92e2YW,1,0.825
long cue,dual feature,R_2Bu63NcF98ifXiE,1,0.74
long cue,dual feature,R_2CTk31LB5KSXTUK,1,0.423
long cue,dual feature,R_2cubeyiZDy5kcWK,0.938,0.87
long cue,dual feature,R_2D5fuTu0fyLlRoG,0.938,0.767
long cue,dual feature,R_2dH0HFAfxeETPyV,0.938,0.871
long cue,dual feature,R_2diq2w8gEnf5L8z,0.938,0.73
long cue,dual feature,R_2DRKnOvAi7cEOEe,1,0.471
long cue,dual feature,R_2e2xTrAELL35qnU,0.938,0.896
long cue,dual feature,R_2EAwGG7T8u9elvy,0.938,0.506
long cue,dual feature,R_2EGbNncbkrLeOBn,0.813,0.883
long cue,dual feature,R_2fBULLTffGRBWLb,0.938,1.13
long cue,dual feature,R_2fesTAMA2X5bx5T,1,0.467
long cue,dual feature,R_2fvMbaH7XgyVyCF,0.938,1.11
long cue,dual feature,R_2PutYEFsewiz88m,1,1.42
long cue,dual feature,R_2PzXxMCgeJjWWLk,1,0.653
long cue,dual feature,R_2q9ip8BsXKWy3tB,0.938,0.917
long cue,dual feature,R_2qCYwbcshBGMWl9,0.875,0.742
long cue,dual feature,R_2RPRywAKJIJoXwq,1,0.705
long cue,dual feature,R_2sSBN4IUEWRzEHE,0.813,1.47
long cue,dual feature,R_2t3eKQMwJ13cTxu,0.875,0.813
long cue,dual feature,R_2t5VMWadJZXwhol,0.938,0.764
long cue,dual feature,R_2tKElLKJ2RzYeOL,0.875,1.11
long cue,dual feature,R_2TOewpP52D1ZcQi,0.938,0.728
long cue,dual feature,R_2TvIpggb40wzcMj,0.813,0.675
long cue,dual feature,R_2Ugx54Yz1N7CJ36,1,0.506
long cue,dual feature,R_2UWLzuZCkACVgCP,1,0.943
long cue,dual feature,R_2uZFhWaBfnO4ECU,0.938,1.4
long cue,dual feature,R_2VBBNsozbzxpfT9,0.938,0.582
long cue,dual feature,R_2Vx6MwTvzph2nt3,1,0.597
long cue,dual feature,R_2w5NkTjpk5sIZmL,0.875,0.689
long cue,dual feature,R_2z5D2HPnn3XvNKK,0.875,1.19
long cue,dual feature,R_2z5xbqVjjSIyJdo,1,0.916
long cue,dual feature,R_2zAzUdW0VLW47Ua,0.938,0.631
long cue,dual feature,R_2zOyxhAfuZbfaqm,1,1.41
long cue,dual feature,R_302H874OqnSbmug,0.75,0.978
long cue,dual feature,R_3061vbhI41l7m5V,0.75,0.94
long cue,dual feature,R_31zRT6XRWDLt6XR,0.938,0.871
long cue,dual feature,R_325E8Zcstn7PYYf,0.813,0.932
long cue,dual feature,R_32X7zIltyrBl2XJ,0.813,1.22
long cue,dual feature,R_33gvmuPR94pwSQR,0.938,1.2
long cue,dual feature,R_33wriurPRqAICJQ,1,0.797
long cue,dual feature,R_3CH6GYzeXMmQ3BR,0.875,0.656
long cue,dual feature,R_3dYRf1LJJY5sNDQ,1,0.564
long cue,dual feature,R_3dYYZ1eB57mzvcP,0.938,0.767
long cue,dual feature,R_3E9zqUUokucmyvi,0.75,1.03
long cue,dual feature,R_3EXNIE6ibfayydJ,1,0.548
long cue,dual feature,R_3F54OWKljGjDYun,0.938,0.593
long cue,dual feature,R_3fftJphDI5wp8jD,0.875,1.27
long cue,dual feature,R_3fIafKngtt8LCdv,1,0.728
long cue,dual feature,R_3G3aqKAxalampJB,0.875,0.555
long cue,dual feature,R_3GfEE0tSJtpYpDK,1,0.842
long cue,dual feature,R_3gMLdLQylpAUOCz,0.938,0.723
long cue,dual feature,R_3GrJEh3BPMqoUIE,0.938,0.935
long cue,dual feature,R_3gSdxynZBUsA24l,1,0.92
long cue,dual feature,R_3GwicDp1Qe1fIYu,0.938,1.09
long cue,dual feature,R_3Hov1y7dOtcDZlE,0.938,1.39
long cue,dual feature,R_3Ht3R1VCyo41bf7,0.9,0.641
long cue,dual feature,R_3Hzu7sZLBROTBKI,0.938,1.15
long cue,dual feature,R_3Ic5XcXj3i1cbFL,0.938,0.63
long cue,dual feature,R_3iFr8MpMy69byrN,1,1.2
long cue,dual feature,R_3j0uBCOqMwUzlCW,0.938,1.1
long cue,dual feature,R_3j9ApP6uO0ORpcw,1,0.804
long cue,dual feature,R_3jAe4d8aowHEK53,0.938,1.8
long cue,dual feature,R_3JCQVowq4SWDWhO,1,0.557
long cue,dual feature,R_3JCuHa99Y2UioVU,0.938,1.17
long cue,dual feature,R_3jSRUtmlwcSos3T,1,0.515
long cue,dual feature,R_3jZIGhpufmzSmRG,1,1.63
long cue,dual feature,R_3kANJhWZWQZHHzt,0.938,1.2
long cue,dual feature,R_3kAQUBQH7gOE6L4,1,0.765
long cue,dual feature,R_3koHaaGXSWbfZCH,0.938,0.633
long cue,dual feature,R_3kq4Tx7qydJo7oB,1,1.21
long cue,dual feature,R_3KxCDvIBCFGJlB2,1,0.641
long cue,dual feature,R_3lQ7ThL8ft9I4Xd,0.938,0.859
long cue,dual feature,R_3lQY2j5LMIXXK4u,0.875,0.603
long cue,dual feature,R_3lxHPjKjHR4VSZX,0.813,1.08
long cue,dual feature,R_3M5rXHlsQsfCfZ1,1,1.03
long cue,dual feature,R_3NDueluChz5YLcK,0.813,0.866
long cue,dual feature,R_3nGjakNTDKLeUI5,0.875,1.34
long cue,dual feature,R_3nj6domOVc1jJjN,0.813,1.03
long cue,dual feature,R_3NJrbvniVjhQgVe,1,1.56
long cue,dual feature,R_3NUHxGL0DDAFsRc,0.875,1.51
long cue,dual feature,R_3NV3o9ELxm8q0OB,1,0.596
long cue,dual feature,R_3paGJTFEkF29ztH,1,0.52
long cue,dual feature,R_3peQmhVVM6LZ8Rq,0.813,1.12
long cue,dual feature,R_3PzqcG3ePjyMVoQ,0.875,1.1
long cue,dual feature,R_3qU5FwC4OCJ7aqk,0.813,0.534
long cue,dual feature,R_3Rl6FSFxxA5e8ma,0.938,1.19
long cue,dual feature,R_3Rl6VEWOBQmKqU6,1,0.619
long cue,dual feature,R_3RmwoIz93sstbuX,1,0.707
long cue,dual feature,R_3svpurCda9KfwHp,1,0.88
long cue,dual feature,R_3Vm6NBKASkpNULn,0.813,1.79
long cue,dual feature,R_4MlrIKWtWMynXgJ,0.938,0.805
long cue,dual feature,R_4V0pQt6VgkQw0lb,1,1.06
long cue,dual feature,R_5zD75iREBKTihMt,1,0.676
long cue,dual feature,R_6AkMGcTw5XpOoSd,1,1.37
long cue,dual feature,R_87dG0u6RSBe8bpD,0.938,0.557
long cue,dual feature,R_88lRNtWC8jzcvPr,1,0.622
long cue,dual feature,R_9SIq53ZIw0UeCMp,0.875,0.701
long cue,dual feature,R_9ZV7VYa4WgGSoPT,1,0.444
long cue,dual feature,R_a8Keqoc6RqZXPj3,0.438,1.41
long cue,dual feature,R_AFYcy8WqCbGhYSB,0.938,0.684
long cue,dual feature,R_b1xBevGuDlgE5mp,1,0.628
long cue,dual feature,R_bxcuLDEvGbOnKHT,0.75,1.67
long cue,dual feature,R_ClZZ8iH4ih5ZuSd,0.938,1.69
long cue,dual feature,R_dfYxqvX4G98rUXL,0.938,0.901
long cue,dual feature,R_eKdyzfVrqfswb1n,1,1.52
long cue,dual feature,R_esMmOCJbTcEsIq5,0.875,1.01
long cue,dual feature,R_O0SCTkaxAB7vjA5,0.938,0.906
long cue,dual feature,R_OBikbvVJp5ZcCOt,1,0.775
long cue,dual feature,R_OjUO1JZhl881Wdr,0.875,0.635
long cue,dual feature,R_OkxFT8Yi5pR6dsB,0.875,1.07
long cue,dual feature,R_OPCfSDjGV5SHORr,1,0.762
long cue,dual feature,R_pEoe2uY6YbOw3aF,0.813,0.492
long cue,dual feature,R_PIpINaW6xp0qDD3,0.938,0.66
long cue,dual feature,R_pK7U209871YpYIN,1,1.49
long cue,dual feature,R_pngU1YVfrXpM6m5,0.938,0.479
long cue,dual feature,R_PSSk558zgwsdfq1,0.813,1.26
long cue,dual feature,R_pT8XhCOwudJrdq9,0.875,0.793
long cue,dual feature,R_Pwhzf2X9FTJWwcp,0.938,0.533
long cue,dual feature,R_qL4FaXWkk1AqEmt,0.875,2.21
long cue,dual feature,R_QoG98GIXlyTTQCB,0.938,0.783
long cue,dual feature,R_R838SwdXuvvg13j,1,0.914
long cue,dual feature,R_rcHQpWAv7AbsluV,0.875,0.769
long cue,dual feature,R_rkiqrtdH01X2Uz7,0.813,1.05
long cue,dual feature,R_rpa23bPTMqxRuy5,0.938,1.12
long cue,dual feature,R_RPRRh5b9RJjsLWF,0.938,2.29
long cue,dual feature,R_RxCmnVP4h0M2Iet,0.625,0.966
long cue,dual feature,R_SUAv0Djpf96vXsB,0.938,0.955
long cue,dual feature,R_szedVFAI7mc8uqt,1,0.583
long cue,dual feature,R_TjDuFk15r39Xrqh,0.75,0.68
long cue,dual feature,R_u220n4MBxTrGIqB,1,1.07
long cue,dual feature,R_uk7jLfoyyvrie5P,0.938,0.681
long cue,dual feature,R_uk8lyne8BTwZWx3,0.938,0.645
long cue,dual feature,R_vcRLjOIJganFB5L,1,0.883
long cue,dual feature,R_vf2rDe2loSzFI4h,1,1.58
long cue,dual feature,R_vMGeXCE2A7fFihP,0.938,1.03
long cue,dual feature,R_VO1OFG6TLIlFTbj,0.938,1.34
long cue,dual feature,R_voSsFXEsEVlpeMx,0.938,0.989
long cue,dual feature,R_xaQjSryVetgbxMR,0.938,1.27
long cue,dual feature,R_xiuZL8oQedG2nrb,1,0.742
long cue,dual feature,R_Y3NmOCLnLbfmdRT,0.875,0.614
long cue,dual feature,R_ykWwfg34VBujl0B,0.938,0.98
long cue,dual feature,R_yPWVvpu60ycQ8P7,0.75,0.968
long cue,dual feature,R_z0je8cRGh1eQ8Rb,1,0.847
long cue,dual feature,R_Z9PxP0CExYG8397,1,0.49
